용어,설명
재정투융자,"일반적인 개념에 따른 재정투융자는 재정지출 중 자본적 지출과 금융적 투융자지출을 의미하는데 자본적 지출이라 함은 건물, 설비, 기계, 도로, 교량 등 정부자산을 증대시키는 일체의 지출을 말하며 금융적 투융자지출은 정부가 재정자금 및 각종 기금 등의 유상자금을 민간사업이나 정부정책사업에 출자 또는 융자의 형태로 임차관계를 맺는 지출, 즉 기간산업의 자금부족을 보완하거나 민간자금에 의하여 행할 수 없는 부문에 자금을 공급하는 것을 일컫는다. 통상 자본적 지출은 일반회계 및 각종 특별회계, 기금 등에 포함되어 지출되고 있으며 96년까지 운영된 재정투융자특별회계에서의 재정투융자는 자본적 지출을 제외한 정부출자·출연 및 재정융자 등 금융적 투융자 활동만을 포함하는 개념이다. 97년부터 종전의 재정투융자특별회계를 재정융자특별회계로 개편하여 재정투융자특별회계 출자계정에서 수행하던 정부출자·출연을 일반회계에서 지출토록 하고 재정융자특별회계는 재정융자와 차관관리만을 담당한다."
"재투자위험 (再投資危險, reinvestment risk)","유동화 증권에 대한 원금 또는 이자 지급기일 전까지 SPV로 유입되는 현금이 일정한 수익을 확보하기 위해 재투자 되었을 때, 당초 예상한 기대수익보다 적어 정해진 원금 또는 이자 지급액을 충족할 수 없는 위험을 말한다. 이표채에 투자하는 경우 미래 이자율변화에 따라 투자자에게 발생하는 위험은 가격변동위험과 쿠폰의 재투자위험의 2가지로 나누어진다. 가격변동위험은 이자율 변동으로 인하여 채권가격이 변동하게 되는 위험을 말하며, 재투자위험은 이자율변동에 따라 쿠폰의 재투자수익률이 변동하게 될 위험을 의미한다. 이와 같은 두가지 위험을 서로 상쇄시키기 위해서 투자자가 최초 투자시 원하는 투자기간을 채권의 듀레이션과 같게 하는 면역전략이 요구되는데, 이는 위의 두가지 위험이 서로 반대방향으로 나타나기 때문이다.? "
재할인금리 (再割引金利),시중은행은 거래처에 할인해 준 어음을 한국은행에서 다시 할인 받을 수 있는데 이 때 적용하는 금리를 재할인율이라 한다. 재할인 대상어음은 적격업체가 발행한 어음이나 신용보증기금이 보증한 어음으로 한국은행이 취득한 날로부터 90일 이내에 만기가 돌아오는 어음이다. 재할인금리는 은행들의 대출금리의 기준이 된다. 재할인금리가 높아지면 시중은행 대출금리도 오르고 낮아지면 따라서 낮아진다. 재할인금리를 통화정책의 긴축인가 확장인가를 가름하는 척도로 보는 것도 이 때문이다. 
재할인율정책 (再割引率政策),"중앙은행은 금융기관에 빌려주는 자금의 금리를 조정하여 금융기관의 자금조달 비용에 영향을 준다. 이때 중앙은행으로부터의 차입규모를 조절하여 통화량을 줄이거나 늘리는 금융정책수단을 통칭하여 재할인율정책이라 한다. 여기에서 재할인(rediscount)이란 시중은행이 기업에 할인해 준 어음을 중앙은행이 다시 할인해 주는 제도를 말한다. 일반적으로 기업들은 상품판매 대금을 어음으로 받는다. 어음에는 지급기간이 명시되어 있어 그 시점까지는 현금으로 바꿀 수 없다. 그러나 은행에 가져가면 만기도래하지 않은 어음도 소정의 수수료를 떼고 어음을 사준다. 이것이 바로 어음할인이다. 재할인은 이 어음을 중앙은행인 한국은행이 다시 사주는 것이다. 한국은행이 얼마만큼 재할인을 해주느냐에 따라 시중의 통화량이 영향을 받는다. 즉, 시중에 자금이 필요 이상으로 많이 풀려 있다고 판단되면 중앙은행은 재할인 금리를 높여 금융기관의 중앙은행 차입규모를 줄이도록 유도함으로써 금융기관이 시중에 공급할 수 있는 자금규모를 줄이고 그 반대의 경우에는 재할인 금리를 낮추어 유동성을 조절한다. "
재해강도율,"근로시간 합계 1,000시간당 재해로 인한 근로손실일수를 말하며, 재해로 인한 피해정도를 나타내는 것으로 근로손실일수를 연근로시간수로 나누어 1,000분비로 산출한 것이다"
재해도수율,"연간근로시간수(월평균 근로시간×12×근로자수)에서 재해건수가 차지하는 비율을 백만분비로 나타낸 것으로, 100만 근로시간당 재해발생건수를 말하며 재해가 일어나는 빈도를 나타낸다."
재해발생률,"통계의 대상이 된 기간 중에 발생한 총 재해건수를 동일기간 중 위험에 노출된 평균 근로자수로 나누어 1,000을 곱하여 계산한다. 재해발생률 = 총재해건수 / 평균근로자수 × 1,000 "
재화,"겨울바람이 불기 시작하면 손이 시려서 따듯한 장갑을 찾게 된다. 책과 연필, 공책을 손에 들고 다니려면 불편하니까 가방이 있어야 한다. 이처럼 사람들의 욕구를 충족시켜 주는 물건, 인간 욕망의 대상이 되는 물질적 수단을 재화라고 한다.

재화에는 소비재와 생산재가 있다.
소비재란 사람들이 욕망을 채우기 위해 일상생활에서 직접 소비하는 재화를 가리키는데 소비재는 사람들의 생활에 곧 사용되도록 완성된 것이며 사람들의 욕망을 충족시킨다는 뜻에서 직접재라고도 한다. 생산재란 소비재를 생산하기 위해 사용되는 재화이며 생산자가 구입, 이용하므로 생산자재라고도 한다.
그러나 같은 재화라도 그 용도에 따라서 소비재도 생산재도 되는 것이 있다. 가정에서 사용 하는 전기는 소비재이지만 공장에서 사용하는 전기는 생산재이다."
저당권 (mortgage),"채권자가 채무자 또는 제3자로부터 점유를 옮기지 않고 그 채권의 담보로 제공된 부동산에 대하여 일반 채권자에 우선하여 변제를 받을 수 있는 약정담보물권(約定擔保物權)을 말한다. 저당권은 질권(質權)과 달라서 부동산을 유치하지 않고 저당권설정자는 계속 사용, 수익을 얻을 수 있으므로 기업시설의 담보화와 근대적 금융에 유용하며, 생산신용의 매개를 그 기능으로 한다. 반면에 저당권은 점유를 수반하지 않으므로 성립요건으로서 등기(등록)가 필요하게 되며 등기에 적합한 부동산에 한정된다. 그러나 근래에는 등기(등록) 기술이 발전되어 저당권의 목적물 범위도 넓어지고 있어, 각종 재단(재단저당), 자동차, 항공기 등에도 적용되고 있다. 저당권은 약정담보물권(約定擔保物權)이므로 당사자간의 저당권설정을 목적으로 하는 합의와 등기에 의하여 성립한다. 즉 등기는 대항요건이 아니라 성립요건이다. 저당권자는 동일채무자에 대한 다른 채권자를 위하여 자기의 저당권을 포기하거나 양도할 수 있다. 포기하면 우선권이 없어지고 양도하면 양수인이 저당권자가 된다. 또한 저당권의 순위를 위하여 포기/양도할 수 있다. "
저당권의 실행,저당권자가 저당물을 경매하여 그 대금에서 피담보채권의 우선변제를 받는 일이다. 저당물의 소유권을 취득한 제3취득자도 경매인이 될 수 있고 공동저당에 있어서는 배당제한의 규정이 있다. 
저당대출담보부채권 (mortgage backed bond),저당대출 집합을 담보로 발행되는 채권으로서 만기는 확정적이며 이자는 반년마다 지급되고 원금은 만기에 일시환불 되는 회사채와 비슷한 형태의 증권이다. 동채권은 자동이체식과는 달리 발행기관의 부채로 처리되기 때문에 발행기관에서 담보에 대한 소유권을 갖게 되므로 담보로부터 발생하는 현금흐름을 발행기관에서 효율적으로 활용할 수 있는 장점이 있다. 회사채와의 중요한 차이점은 회사채는 발행기관의 자체신용으로 발행되는 반면 이 증권은 정부관련 유동화중재기구의 담보로 발행되므로 신뢰성이 높다는 점이다. 투자자보호 측면에서 담보내용이 정기적으로 공시되어야 하며 담보부실화 등에 대비하여 채권발행액과 이자변제를 위해 충분한 정도의 초과담보수준 (보통 발행의 125%~240%)의 유지가 구제되고 있어 발행비용이 높은 상태이다. 미국에는 1975년 처음 도입된 후 주로 저축대부조합이나 상호저축은행에서 발행되지만 저당대출담보부증권에 비해 인기가 저조한 편이다. 
저축,저축은 가처분소득중 최종소비용 재화 및 서비스에 사용되지 않은 부분을 나타내며 가처분소득과 최종소비지출의 크기에 따라 (+)일 수도 있고 (-)가 될 수도 있음
저축대부조합 (savings & loan association),"미국에서 조합원들의 주택구입 또는 주택수리비용을 제공하기 위하여 조합원들의 저축을 이용하여 주택저당대출을 하는 협동저축 기관이다. 이 조합은 연방정부 또는 주정부의 인가를 받을 수 있으며 연방정부의 인가를 받은 경우에는 연방저축대출보험공사(Federal Savings & Loan Insurance Corp.)와 그 지역의 연방주택대출은행에 가입하여야 하며, 연방주택대출은행은 주택저당권을 담보로 하여 조합에게 추가자금을 공급한다. 주정부의 인가를 받은 경우에는 조합이 원하는 경우에만 이 기관에 가입하게 된다. "
저축률과 투자율,"국민계정에 등장하는 개념으로 한 나라 국민이 소비나 저축으로 자유롭게 사용할 수 있는  ‘국민총처분가능소득’ 가운데 저축의 비중을 저축률이라고 하며, 투자가 차지하는 비중은 투자율이라고 한다. 
저축은 국내투자를 충당하고도 남은 경우 외국에 빌려주게 되며 반대로 모자라면 투자자금을 외국에서 조달해 와야 한다. 이때 외국에 빌려준 자금은 우리나라 저축이 외국에 투자되었다는 의미에서 국외투자라고 부른다. 따라서 국내총투자와 국외투자를 합한 총투자는 총저축과 항상 일치하게 된다.
"
저축성예금,예금납입 및 인출방법에 대해 특정 조건이 있는 기한부 예금으로 주로 장기저축이나 이자수입을 목적으로 하는 예금을 말한다. 예금주의 명의 표시에 따라 기명식 정기예금·무기명식 정기예금으로 분리하기도 한다.
저평가된 기업 (undervalued company),"특정기업의 주식이 하나 또는 그 이상의 이유에 의하여 그 기업의 내재적, 잠재적 또는 장기적 가치를 반영하지 못한 낮은 가격으로 거래되고 있을 때, 이 기업을 저평가 기업이라고 한다. 기업의 사업이 다각화된 경우, 특정자산의 가치가 제대로 평가되지 않은 경우 등이 일반적으로 거론되는데, 정보비용이 크기 때문에 기업의 자산과 그 수익성의 가치가 시장가격에 완전히 반영되지 않을지 모른다. 그러나 특정기업이 시장에서 과소평가되고 있는지 여부를 실제로 판단하는 것은 어렵다. 그럼에도 불구하고 기업 인수/합병시장에서는 과소평가된 기업이 인수대상이 되기 쉽다고 믿어지고 있다. "
저평가된 주식 (undervalued stock),"주당 가치기준으로 보았을 때, 기업의 가치보다 현격히 낮은 시장가격으로 거래되는 주식을 말한다. 실제 자산가치는 높으나 극히 경쟁적인 시장상환 등으로 당기의 이익이 낮다는 이유로 저평가되어 있는 주식을 말한다. "
적격확인서 (qualification statement),적격확인서라 함은 매수인이 입찰서류를 얻기 위하여 한국자산관리공사에 제출한 적격확인서 및 비밀유지계약서를 말한다. 
적기시정조치제도 (PCA: Prompt Corrective Action),"적기시정조치(Prompt Corrective Action)란 자본충실도가 일정 수준이하로 저하된 금융기관에 대하여 금융감독기관이 관련 법규에 명시된 시정조치 (경영개선권고, 경영개선요구, 경영개선명령)를 자동적으로 발동함으로써 금융기관의 건전경영을 유도하고 부실화를 예방하는 제도이다. 정부는 1998년 9월 금융산업의 구조조정이 원활히 추진될 수 있도록 제도적으로 뒷받침하기 위하여 「금융산업의구조개선에관한법률」을 개정하여 적기시정조치제도를 도입하였다.  우리나라의 경우 은행과 종금사, 금고는 BIS 기준 자기자본비율을 기준으로 하고, 증권사는 영업용순자본비율을 기준으로 하며, 보험회사는 지급여력비율을 기준으로 하되, 각 금융기관에 공통적으로 적용되는 경영실태평가(CAMELS)의 결과도 적기시정조치의 발동 근거가 된다. 적기시정조치가 부과되면 금융감독위원회는 개별 금융기관으로부터 경영개선계획을 징구하고 이의 승인여부를 결정하며, 승인될 경우 그 이행여부를 점검하고 불승인 될 경우에는 경영개선권고/요구/명령 등 보다 상위단계의 적기시정조치를 부과할 수 있다. "
전기오류수정이익(손실),"전기 또는 그 이전기간에 발생한 오류의 수정인 경우 손익계산서의 영업외비용(전기오류수정이익(손실))으로 처리하나 중대한 오류의 수정인 경우에는 전기이월이익잉여금에 반영하게 된다. 전기오류수정손익의 대상은 계산상의 실수, 기업회계기준의 잘못된 적용, 사실판단의 잘못, 부정, 과실 또는 사실의 누락 등이며 이는 추가적인 정보를 입수함에 따라 기존의 추정치를 수정하는 회계추정의 변경과는 구분된다."
전기이월이익잉여금,"전기로부터 당기로 이월된 이익잉여금을 말한다. 즉, 전기의 차기이월이익잉여금과 당기의 전기이월이익잉여금이 일치한다."
전략적 제휴 (strategic alliance),"전략적 제휴는 전략적 의도를 가지고 한 기업 또는 그 이상 제휴자의 경쟁전략을 지원 또는 형성하기 위해 추진되는 기업내 혹은 기업간의 결합을 말한다. 전략적 제휴는 전략적 의도가 포함되어 있다는 점에서 과거의 기업협력 제휴와 다르다. 기업규모와는 관계없이 여러 분야에서 이루어지며, 특히 기술혁신 속도가 빠른 전기, 전자 등 첨단제조 분야에서 신기술 습득과 새로운 시장 진출을 목적으로 활발하게 진행되고 있다. 은행,보험,항공,운송 등과 같은 서비스 부문에서도 급증하고 있다. 규모의 경제성 추구, 위험 및 투자비용의 분산, 경쟁우위 자산의 보완적 공유, 기술획득 및 이전수단, 시장의 신규진입과 확대모색, 과다한 경쟁방지 등이 전략적 제휴의 구체적 동기이다. 최근에 타기업간 상호 지분참여나 통제권의 보유없이 상호기술공여, 공동 유통경로의 이용, 공동연구개발, 부품상호구매, 공동생산, 공동브랜드 등 다양한 협력을 통해 규모의 경제효과와 위험분산 효과를 추구하여 기업의 국제경쟁력을 제고 시키려는 기업의 협력방식 유형이 나타나고 있다. "
전력수급,"· 공급능력 : 총발전 설비능력에서 장비의 고장, 노후화, 보수 등으로 인한 능력 감소분을                 제외시킨 능력
  · 최대전력 : 연중부하가 최대일때의 시간당 전력
  · 평균전력 : 총사용전력 ÷ 연시간· 부 하 율 : (평균전력 ÷ 최대전력) × 100
  · 이 용 률 : (평균전력 ÷ 발전설비) × 100
  · 예비전력 : 공급능력 - 최대전력
  · 공급예비율 : (공급능력 - 최대전력) ÷ 최대전력 × 100"
전문가,"주된 업무가 자연과학, 생명과학 및 사회과학 분야에서 높은 수준의 전문적 지식과 경험을 기초로 과학적 개념과 이론을 응용하여 해당 분야를 연구, 개발 및 개선하며 고도의 전문지식을 이용하여 의료진료 활동과 각급 학교 학생을 지도하고 예술적인 창작활동을 수행하는 자와, 또한 행정·경영 등에 관련된 의사결정 업무를 수행하는 자를 말한다"
전사적 자원관리 (ERP: Enterprise Resources Planning),"인사,재무,생산 등 기업의 전 부문에 걸쳐 독립적으로 운영되던 인사정보시스템,재무정보시스템,생산관리시스템 등을 하나로 통합, 기업내의 인적/물적 자원의 활용도를 극대화 하고자 하는 경영혁신 기법을 의미한다. ERP(전사적 자원관리)가 경영혁신기법으로 새로운 바람을 불러일으키고 있는 것은 ERP 패키지로 불리는 소프트웨어가 개발된 것이 계기가 되었다. 그동안 기업업무의 전산화는 부서의 업무를 분석하고 각종 개발도구를 이용, 회계,인사,급여관리 등을 직접 자사의 업무 프로세스에 맞게 구축하는 주문식 개발방법이 보편적이었다. 그러나 ERP에 따른 종합 경영정보시스템을 지원하는 소프트웨어 패키지들이 개발/보급되면서 컴퓨터 사용자들이 워드프로세서 프로그램을 사다 쓰듯이 기업들도 전문 소프트웨어업체의 경영 소프트웨어를 구입해서 각자의 실정에 맞게 적용하는 방식으로 변하고 있다. "
전세평가액,전세로 임차한 가구를 동일 규모의 인접 임차가구에 대한 월세지출액을 참작하여 평가한 귀속 임차료를 말한다
전신환 매입 환율 (T/T buying rate),전신환 매입 환율은 한국외환은행이 환전 2영업일 이전에 한국 시간 10시에 공시한 전신환 매입 환율에 따라 계산한 미합중국법화로 매입할 수 있는 원화의 환율을 말한다. 
전자상거래,전자상거래는 인터넷이나 PC통신을 이용해 상품 등을 사고파는 행위를 말하는 것으로 넓은 의미로는 컴퓨터 통신망을 통해 이루어지는 상품 및 서비스 구매나 발주 광고 활동 등이 모두 포함된다. 이와 같은 거래의 가장 큰 장점은 시간과 공간의 제약이 없다는 점이기 때문에 직접 매장까지 나가는 번거로움을 덜 수 있고 거래대금은 주로 신용카드로 결제된다. 또 유통 비용이나 건물 임차료 등의 비용이 전혀 없으며 전세계 모든 인터넷 가입자가 잠재고객이란 점에서 첨단황금 어장에 비유되기도 하고 CALS(Commerce at light speed; 광속거래)에 포함시키기도 한다.
전환사채 (CB: Convertible Bond ),"사채로 발행되나 일정한 기간이 지나면 사채권자의 청구가 있을 때 미리 결정된 조건대로 발행회사의 주식으로 전환할 수 있는 특약을 지닌 사채를 말한다. 전환사채는 주식과 같이 가격이 변동하므로 사채권자는 이자외에 가격상승의 이익을 얻을 수 있다. 전환사채를 발행하려면 정관 또는 정관 변경의 특별결의서로써 전환의 조건, 전환으로 인하여 발행할 주식의 내용, 전환을 청구할 수 있는 기간 등을 정해야 한다. 전환사채의 발행방식은 다른 증권과 마찬가지로 사모와 공모로 구분된다. 공모란 인수단이 구성되어 증권을 인수한 후 불특정다수의 투자자에게 판매하는 방식으로 거래소상장, 신고서, 사업설명서 제출 등 법적장치를 수반함으로써 발행에 관한 제반사항이 투자자에게 신속히 전달된다. 한편 사모는 특정소수의 기관을 대상으로 모집됨으로써 일반투자자는 투자참여 및 발행정보 공유에서 배제된다. 따라서 기존 일반주주의 경우 사모 전환사채가 주식으로 전환될 때는 통상적으로 신주인수권을 원칙적으로 봉쇄당한 채 증자에 따른 불이익을 떠안게 된다. "
전환주식 (convertible stock/share),"회사가 권리내용이 다른 여러 종류의 주식을 발행하는 경우에 다른 종류의 주식으로 전환할 수 있는 전환권이 인정되는 주식을 말한다. 상법은 신주발행의 경우 뿐만 아니라 회사 설립 시에도 전환주식을 발행할 수 있게 하고 있다. 회사가 전환주식을 발행하려면 전환을 청구할 수 있다는 뜻과 전환의 조건, 청구기간 및 전환으로 인하여 발행되는 주식의 수와 내용을 정관으로 정하여야 하고, 주식청약서 또는 신주인수권증서에도 그 내용을 기재하여야 한다. 주식의 전환은 기존 주식을 소멸시키고 그 대신 신주를 발행하는 것이므로, 회사는 전환청구의 기간 내에는 전환으로 인하여 발행할 주식의 수는 그 발행을 보류하여야 한다. 전환청구는 청구서 2통에 주권을 첨부하여 회사에 제출하여야 한다. 전환청구가 있을 때 전환의 효력이 생기나, 이익이나 이자의 배당에 관하여는 그 청구를 한 때가 속하는 영업연도 말에 전환된 것으로 본다. 선진국의 경우 전환주식의 가장 일반적인 형태는 우선주를 보통주로 전환하는 것이며 이 경우의 전환주식을 전환우선주라고 한다. "
점두게시공고,"최저매매예상가격이 1,000만원 이하인 자산에 대한 입찰공고 및 공고사항을 정정 또는 취소하고자 할 경우 해당내용을 사내,외에 게시하여 공고하는 방법이다. "
접대비,"접대비, 교제비, 기밀비, 사례금, 기타 명목으로 사용되거나 이와 유사한 성질의 비용으로서 법인의 업무와 관련하여 금전이외의 재화나 서비스를 제공하는 데 지출한 금액이며 금전을 제공한 경우는 기부금으로 처리하게 된다."
정관(定款/articles of incorporation),"(정의)단체나 법인의 조직·활동을 정하는 근본규칙을 기재한 서면(해설) 정관에는 반드시 기재하여야 하는 사항인 ‘필요적 기재사항’과 그렇지 않은 ‘임의적 기재사항’이 있다. 민법상 사단법인의 경우에는 목적·명칭·사무소의 소재지·자산에 관한 규정·이사의 임면규정·사원자격의 득실규정·존립시기나 해산사유를 정하는 때에는 그 시기나 사유를 반드시 기재하여야 한다. 정관의 변경은 정관에 정한 바에 따르며, 정함이 없는 때에는 총사원 3분의 2 이상의 동의에 따라 주무관청의 허가를 얻어야 한다. 재단법인의 설립자는 일정한 재산을 출연하고 정관을 작성하여야 하는데, 재단법인의 정관에는 목적·명칭·사무소의 소재지·자산에 관한 규정·이사의 임면규정 등을 기재하여야 한다.   필수적 기재사항은 거래의 안전을 위해서 반드시 외부에 알려야 한다. 예를 들어 법인의 이사는 법인의 업무집행자이므로 법인과 거래하는 자는 법인을 대표하는 이사와 법률상 행위를 하여야 하고 따라서 이사의 임면규정은 필수적 기재사항 중 하나이다."
정기지급방식 (pay-through),"원 채무자로부터 상환받는 원리금을 바탕으로 SPC가 새로운 방법으로 투자자에게 증권을 발행하여 유동화하는 방식이다. 채무자가 상환하거나 환매로 인한 회수 금액을 ABS 발행 채권의 만기구조별로 정기적으로 지급하는 방식으로 ABS 발행 대상채권은 통상 단위기업별 10～500억원 규모의 특별(법정관리, 화의)채권 50～60개 차주로 구성하여 3,000억원 규모의 ABS를 발행하고 있다. 이 방식은 發行社와 투자자 모두 안정적인 자금수급이 가능하다. SPV에 대한 청구권을 표창하는 Pay-Through 방식은 자산보유자가 SPV에 자산을 이전하였을 때 SPV가 이 자산을 담보로 투자자에게 발행하는 방식을 말하며 회사형 SPV가 발행하는 유동화 증권은 모두 이에 해당된다. "
정도,"측정에서 일어나는 오차와 관련하여 엄격한 의미에서는 정도와 정확도(Accuracy)는 구분되는 개념이다. 정확도라 함은 관측값과 관측대상과의 근접정도로서 일반적으로 확률오차(Random error)와 편의에 기인한 계통오차(Systematic error)의 합을 나타내는 것이고, 정도는 확률오차에만 관련된 것으로 반복측정에서 얼마나 재현성이 있는가, 즉 얻어진 각 측정값간의 산포정도를 나타낸다. 일반적으로 어떤 추정량(Estimator)의 정도는 그것이 기초한 표본수의 평방근에 반비례한다."
정리,"한국자산관리공사는 공매대행 의뢰받은 압류재산에 대한 처리 실적을 정리라고 하는데, 이에는 매각, 자진납부, 해제가 이에 해당한다. 매각은 압류재산 공매처분으로 종결된 것을 말하며, 자진납부는 체납자 스스로 체납세금을 납부하여 종결되는 것을 말하고, 해제는 조세채권보다 우선하는 채권이 많아 공매실익이 없는 등의 사유로 공매대행 의뢰를 해제하는 것을 말한다. "
정리계획안,"회사정리절차의 회사정리계획 및 화의조건, 또는 산업합리화 조치에서 정한 변제계획을 말한다. "
정리담보권,"정리절차개시전의 원인으로 생긴 회사 재산상의 청구권으로서 정리절차개시 당시 회사 재산상에 존재하는 유치권, 질권, 저당권, 양도담보권, 가등기담보권, 전세권 또는 우선특권으로 담보된 범위의 채권을 말한다. "
정리신탁공사 (RTC: Resolution Trust Corporation),"1970년대 후반 미국 저축대부조합(Savings and Loan Association :S&L)들은 단기자금을 조달하여 고정금리 장기 저당대출로 운용하였는데 단기조달금리의 상승으로 인해 역마진이 발생하였다. 또한 1987년과 1990년 사이에 부동산시장 침체와 정크본드 등에 투자한 자산의 손실이 확대되면서 위기가 확대 되었다. 한면 미국 감독당국은 초기에 부실 저축기관을 신속히 폐쇄하지 않고 자력회생을 기다리는 관용정책을 취하였는데, 이는 저축대부조합으로 하여금 고수익/고위험 경영을 추구하게 하여 도덕적 위험을 부추기는 결과를 초래하였다. 이에 정책 당국은 부실 저축기관을 신속히 정리하는 방향으로 정책을 선회하였고 부실 저축대부조합을 통합적으로 정리하기 위하여 정리신탁공사(Resolution Trust Corp.:RTC)가 1989년 8월 9일 시한부로 설립되었다. RTC의 주요임부는 보전관리인(conservator)이나 청산관리인(Receiver)으로서 부실 저축기관을 정리하는 것으로 과거 부실저축기관 정리를 담당하던 연방저축대부보험공사(Federal Savings and Loan Insurance Corp.: FSLIC)의 임무를 대체하는 것이다. "
정리채권,회사에 대하여 정리절차개시전의 원인으로 생긴 재산상의 청구권으로서 정리담보권 이외의 채권을 말한다. 
정보의 비대칭성,"시장에서 거래쌍방 중 한쪽만이 특정 정보를 가지고 있는 현상을 의미한다. 이러한 정보의 비대칭성은 역선택(adverse selection) 및 도덕적 해이(moral hazard)를 발생시킨다.

예컨대 노동시장에서 회사측이 회사의 현재 및 미래 재정 상태에 대한 정보를 노조측 보다 풍부히 가지고 있어서 임금 협상에서 우월한 협상력을 가지게 되는 현상이나 중고차 시장에서 상등품 중고차는 사라지고 하등급 중고차만이 거래되는 현상은 정보의 비대칭성 때문에 발생하는 현상이다"
정보컨텐트산업,"일반 대중을 대상으로 정보컨텐츠의 생산 및 배급을 주된 활동의 일부로 하는 산업을 말하며, 정보컨텐츠란 전자매체(CD, 디스켓, 자기테이프, 마이크로칩, 컴퓨터 등)에 저장되어 전송되는 정보내용을 말한다."
정보통신산업,"제조업부문에서 정보의 전달과 표시, 정보처리와 물리적 현상의 기록·측정·조사, 물리적 공정의 제어를 위해 전자적 처리수단이 사용되는 산업과 서비스업부문에서 전자적 수단에 의하여 정보를 처리, 전달, 시현하는 산업을 말한다"
정보화 사회,"최근 정보통신기술의 급속한 발달로 인한 충격은 정보통신관련 산업에 국한되지 않고 경제·사회의 여러 부문으로 확산되고 있다. 이는 정보통신기술이 지식기반경제의 성장과 정보화 사회를 촉진하는 기폭제이기 때문이다. 정보화 사회는 정보화 경제와 정보화 경제의 사회적 영향으로 이루어지며, 정보화 경제는 정보통신산업(Information and Communication Technologies), 정보컨텐츠산업, 정보통신 상품과 정보의 이용으로 구성된다."
"정부보증채 (政府保證債, government-guaranteed bond)","국회 동의를 얻어 정부가 원금의 상환이나 이자의 지급을 보증하고 발행하는 채권을 말한다. 한국전력, 산업은행 등 정부출자기관에서 발행하고 있다. 사채 등 사업채는 증권회사의 인수에 한정되어 있지만 정부보증채는 은행 등에서도 인수할 수 있다. "
정부실패,"시장실패를 교정하기 위한 정부의 개입이 자원배분의 효율성을 높이기보다 오히려 해치는 경우가 있는데 이를 시장실패에 비유하여 정부실패라고 한다.

규제자의 불완전한 지식?정보, 규제수단의 불완전성, 규제자의 경직성 등의 이유로 정부실패가 일어난다. 또 정부는 대부분의 영역에서 독점적인 지위를 갖고 있어 민간 기업처럼 경쟁을 해야 할 필요가 없으며 성과에 따라 보상을 받는 유인제도도 부족하기 때문에 정부실패가 발생하기도 한다.

예컨대 최근 많은 국가들에서 정부는 국민들의 안정된 노후생활을 보장하기 위해 사회보장제도를 실시하고 있다. 그러나 정부가 사회보장제도를 잘못 운영할 경우 근로능력이 있음에도 고의로 일을 하지 않는 계층이 생기고 사회보장기금이 방만하게 운영되는 등 심각한 비효율이 초래될 수 있다. 이런 경우 정부의 시장개입이 오히려 자원배분의 효율성을 악화시키는 정부실패를 가져오게 된다.

정부실패를 방지하기 위해서는 정부정책의 투명성 강화, 정부부문에의 유인제도 도입, 입법부?감사원?시민단체 등에 의한 감시활동 강화 등의 조치가 필요하다"
정산조건부일괄매입,"한국자산관리공사의 부실자산 매입방법과 기준은 경제상황의 변화에 따라 수차례 변경되었다. 부실채권의 매입은 시장가격에 기초하는 것이 원칙이지만, 부실채권의 시장가격 산정을 위해서는 금융기관과의 협상을 필요로 하여 부실채권의 처리를 지연시킬 우려가 있었다. 1997년 말부터 1998년 초기까지는 금융기관의 부실채권 처리가 시급성을 요하였는데, 유동성부족으로 인한 금융공황을 방지하는 것이 급선무였다. 정산조건부일괄매입은 한국자산관리공사의 부실채권 매입 방식의 하나로, 금융감독원의 자산건전성 분류기준에 따라 금융기관별로 일괄하여 개산지급률을 적용하여 산정한 금액을 선지급하고 부실채권을 매입한 후, 사후에 개별정산 기준에 의하여 채무자별로 개별 정산하는 방식이다. 이 방식은 부실채권정리기금 출범 초기인 1997년 11월부터 1998년 7월까지 적용한 방식으로, 기업 및 금융기관의 부도 등에 따른 부실채권의 급증으로 금융공황이라는 초유의 사태를 방지하는 것이 시급한 문제로 대두됨에 따라 금융기관의 부실채권을 최단기내에 매입하여 유동성위기를 극복하기 위한 것이었다. "
정크본드 (junk bond),"신용등급이 낮은 기업이 발행하는 고위험/고수익 채권으로 이자율은 높지만 원리금상환이 극히 불확실해 신용등급이 낮은 회사채를 말한다. 일반적으로 기업의 신용등급이 매우 낮아 회사채 발행이 불가능한 기업이 발행하는 회사채로 고수익채권 또는 열등채라고도 부른다. 1970년대 미국 정크본드 시장의 대부 마이클 밀켄이 하위등급 채권을 정크라고 부른데서 유래되었으며, 당시에는 신용도가 높은 우량기업이 발행한 채권 중 발행기업의 경영이 악화되어 가치가 떨어진 채권을 가리켰으나, 최근에는 성장성은 있으나 신용등급이 낮은 중소기업이 발행한 채권이나 M&A(merger and acquisition:기업인수/합병)에 필요한 자금을 조달하기 위하여 발행한 채권 등을 포함하는 넓은 개념으로 사용되고 있다. 신용평가기관인 무디스(Moody&acute;s)의 신용등급이 Ba1, 스탠더드 엔드 푸어스(S&P)의 신용등급이 BB 이하인 기업이 발행한 채권이 정크본드로 분류된다. "
